"","N0","N1","N2","sample_name","Bibury_Diversity"
"141",7005,750.148885598757,122.229861956227,"KUR33.100",10.2902275567749
"142",11166,3988.17879448992,1176.15204555356,"LIS10.100",12.1890170117197
"143",10962,2649.19484451488,449.528093753827,"LIS14.100",11.8064464067501
"144",10394,1460.63477168737,94.1923963912188,"MAI1.100",11.1499845066049
"145",11090,2708.58833736596,391.450438674417,"MAU46.100",11.6667863052745
"146",12073,3861.33283023975,936.783718388498,"MAU4A.100",12.1320348730578
"147",11483,3808.29726416468,957.169950057812,"MAU4C.100",12.046452504666
"148",13640,4031.37925779819,990.360221553343,"OAH12.100",12.303747622352
"149",10867,4190.41667709056,1239.29399369981,"PHR26.100",12.1043510323745
"150",12077,3170.69886832179,492.672279802454,"PHR33A.100",12.216205941086
"151",11577,3880.44411233784,1177.96158521428,"PHR33B.100",12.2070824919089
"152",11188,3005.02921051648,680.018146239079,"PHR33C.100",12.0122398924584
"153",11624,2412.63012689548,128.902666273478,"PHR42.100",11.9395934270406
"154",9387,3339.96961523626,1051.79272190771,"WAK6b.100",11.8248111408088
"155",7683,1898.74550866805,314.36691897878,"ART1B.500",11.6973466853728
"156",7603,2562.18899551752,658.148762445288,"CE02.100",11.8027399414829
"157",7415,1567.40326798369,277.637221940066,"FFS12.500",11.5019472664323
"158",6602,1063.91452434597,170.298454738941,"FFS34.500",11.327291345537
"159",6239,811.524450666086,118.417822161297,"GUA2C.500",10.6413361427062
"160",5504,598.529737041938,86.659626355207,"GUA5.500",10.4353272199175
"161",7480,1349.28854103443,214.636815473851,"GUA8A.500",11.4971148698939
"162",5034,259.45740491255,16.2655076356092,"GUA8B.500",9.66224885947757
"163",6474,495.973690990674,33.8995640327498,"GUA8C.500",10.1630416301354
"164",8568,1859.91244932495,208.634854946652,"HAW24A.500",11.7555212204103
"165",8531,1366.26564047331,154.046337897346,"HAW24B.500",11.2877441082304
"166",6833,1131.87761487333,172.675562160258,"KAU2.500",11.0556853604112
"167",8002,1856.36927869704,332.898671836228,"KAU6.500",11.6870639736959
"168",8961,3003.0403840152,856.803148749412,"KAU8A.100",12.064828970471
"169",6091,654.426339258559,62.4443541094243,"KUR12.500",10.7070994184268
"170",6628,830.780415326833,74.6660244377779,"KUR34.500",10.7942926790557
"171",5506,315.54343581026,25.1143258304972,"LIS10.500",9.81890737695723
"172",7091,958.203402280458,111.741283222486,"LIS14.500",11.0476541908537
"173",6461,549.06794156663,61.5495913185661,"MAI01.500",10.3773390728405
"174",6260,854.251971504785,143.305574112209,"MAU4A.500",11.0335423772591
"175",5656,591.380602264965,99.7458450224109,"MAU4B.500",10.4339072459503
"176",4956,494.376659605208,83.3222364745184,"MAU4C.500",10.3737973075993
"177",8500,2643.42977258767,772.422817269281,"MAU9.500",12.0069747756687
"178",8854,2367.88849942351,495.449743045557,"MOO27.100",11.8832377937677
"179",7895,1890.39277625331,355.206056475347,"OAH12.500",11.7335270728017
"180",6559,725.141225801685,149.306222715177,"PAG1.500",10.617424360715
"181",7847,1475.35248894911,184.201468875674,"PAG5.500",11.4300493151058
"182",6969,1622.12709158345,344.143683557173,"PAG9.500",11.7181899669695
"183",6632,1270.75704875584,159.716920122524,"PHR26.500",11.4728038222702
"184",7384,1866.02293781217,359.102971864069,"PHR33B.500",11.6592365577576
"185",6191,1201.91264781241,146.473347796494,"PHR42.500",11.2491011373279
"186",7181,1320.66620888644,278.943179900323,"SAI5.500",11.1583610896014
"187",7996,2542.25933034929,567.951488018004,"TUT11A.100",11.9698280863649
"188",5979,1590.36913281035,500.407736100668,"TUT11C.BS",11.4285864676075
"189",4485,339.193156537511,64.1144747275046,"WAK8.500",9.94150020083016
"190",5013,710.494478409131,177.830457152298,"BAA1A_SES",10.172843515269
"191",8332,1665.90475119065,167.17912694179,"BAA1A.500",11.20915191843
"192",8199,1042.9952110185,60.3553624420471,"BAO1A.500",10.7470840594359
"193",10437,1582.43466908207,152.712770897963,"CE1.100",11.1970611641081
"194",8767,2223.50066179447,401.106686759993,"CE1.500",11.6845666707328
"195",10833,3350.28311317867,749.593641835591,"CE2.100",11.9488336386929
"196",10130,2464.51768962272,369.727289510987,"CE3.100",11.6592588396443
"197",8435,1406.44495261047,186.818958361445,"CE3.500",11.0297938778137
"198",8236,1644.9256778795,321.395008737681,"CE3.BS",11.1865801582534
"199",7176,969.672396015304,92.7983064196317,"FFS12.BS",10.8714653809684
"200",6123,579.761250331209,40.2079323001482,"FFS34.BS",10.1507876264932
"201",7292,879.669016065058,135.522711675225,"GUA2.500",10.4847670663708
"202",5838,776.59369105531,144.803891532541,"HAW22.500",10.6030875384265
"203",6216,757.794652537375,34.2915801804408,"HAW24C.500",10.2937072160677
"204",10093,2382.10116448249,303.198089839059,"HR01.100",11.5089437182026
"205",6486,757.499059449542,75.0870994338237,"KAU8.500",10.5643615045413
"206",7097,1149.07052861182,273.594090565354,"KIN13C.100",10.9443789043421
"207",8528,2360.09843839418,306.188625949616,"KOA1A.100",11.4694365158746
"208",6263,911.619728312622,138.923595413925,"KOA1A.500",10.9470725853487
"209",4837,505.42670681495,120.048702797541,"KOA1A.BS",10.0434893876778
"210",6577,957.334663439312,143.538797531635,"MAI1.BS",10.7527988213432
"211",5790,611.053558584564,115.207178407337,"MAI1C.BS",10.1819730197244
"212",2701,126.946086931164,30.9290760050443,"MOO21.500",8.66348065860275
"213",3864,348.718791985539,96.7011371399514,"MOO27.500",9.65812893262993
"214",10506,3059.93184840316,474.888611485558,"OFU3B.100",11.8651906370736
"215",6854,1234.36934044794,340.443693150107,"OFU3B.RED.BS",11.0831159722204
"216",5854,555.482093223233,67.3334064672241,"OFU4A.BS",10.1667527459164
"217",6120,856.630443085743,64.5894727223894,"PHR33A.500",10.6578981161085
"218",7243,1430.5558857421,192.163749483599,"PHR33B.BS",11.3164838582548
"219",7421,1376.87885282,200.183222819101,"PHR33C.500",11.2544218569722
"220",4072,359.092417447155,56.703509766276,"ROS25C.500",9.97038081714163
"221",7592,1341.37362444194,216.319125492014,"SAI6.500",11.2790568352828
"222",10473,3241.29612751801,691.704047224124,"SAI8.100",11.9729731791535
"223",4701,730.38658038325,119.867671095724,"SAI8.500",10.3646372828291
"224",9523,2503.46804240303,242.12789366584,"TWI2A.100",11.6988140429416
"225",4134,931.142844458796,226.224083742545,"TWI2A.500",11.326800033579
"226",4641,399.475849171269,98.3784165442503,"TWI2A.BS",9.68444844163241
"227",5530,315.020407775083,18.2140804005005,"WAK6.500",9.64398662478202
"228",6957,596.582469519347,57.6771235019755,"WAK8.100",10.2759413147523
