"","eventID","Year","Month","RESET_score","date"
"206","Ransome_HAW24_HAW24C_100101_130101","2010","Nov",0.01,2010-11-01
"207","Ransome_KAU02_KAU02A_100101_130101","2010","Nov",0.07,2010-11-01
"208","Ransome_KAU06_KAU06A_100101_130101","2010","Nov",0.18,2010-11-01
"209","Ransome_KAU08_KAU08A_100101_130101","2010","Nov",0.17,2010-11-01
"210","Ransome_KUR12_KUR12A_100101_130101","2010","Nov",0.12,2010-11-01
"211","Ransome_KUR33_KUR33A_100101_130101","2010","Nov",0.1,2010-11-01
"212","Ransome_LIS10_LIS10B_100101_130101","2010","Nov",0,2010-11-01
"213","Ransome_LIS14_LIS14B_100101_130101","2010","Nov",0.07,2010-11-01
"214","Ransome_MAI01_MAI01B_100101_130101","2010","Nov",0.15,2010-11-01
"215","Ransome_OAH12_OAH12B_100101_2013","2010","Nov",0.1,2010-11-01
"216","Ransome_PHR26_PHR26A_100101_130101","2010","Nov",0.09,2010-11-01
"217","Ransome_PHR33_PHR33A_100101_130101","2010","Nov",0.07,2010-11-01
"218","Ransome_PHR33_PHR33B_100101_130101","2010","Nov",0.07,2010-11-01
"219","Ransome_PHR33_PHR33C_100101_130101","2010","Nov",0.07,2010-11-01
"220","Ransome_PHR42_PHR42A_100101_130101","2010","Nov",0.05,2010-11-01
"221","Ransome_FFS12_FFS12A_100101_130101","2010","Dec",0.07,2010-12-01
"222","Ransome_FFS34_FFS34A_100101_130101","2010","Dec",0.1,2010-12-01
"223","Ransome_HAW22_HAW22B_100101_130101","2010","Dec",0.1,2010-12-01
"224","Ransome_HAW24_HAW24A_100101_130101","2010","Dec",0.04,2010-12-01
"225","Ransome_HAW24_HAW24B_100101_130101","2010","Dec",0.04,2010-12-01
"226","Ransome_HAW24_HAW24C_100101_130101","2010","Dec",0.04,2010-12-01
"227","Ransome_KAU02_KAU02A_100101_130101","2010","Dec",0.12,2010-12-01
"228","Ransome_KAU06_KAU06A_100101_130101","2010","Dec",0.17,2010-12-01
"229","Ransome_KAU08_KAU08A_100101_130101","2010","Dec",0.21,2010-12-01
"230","Ransome_KUR12_KUR12A_100101_130101","2010","Dec",0.11,2010-12-01
"231","Ransome_KUR33_KUR33A_100101_130101","2010","Dec",0.12,2010-12-01
"232","Ransome_LIS10_LIS10B_100101_130101","2010","Dec",0,2010-12-01
"233","Ransome_LIS14_LIS14B_100101_130101","2010","Dec",0.01,2010-12-01
"234","Ransome_MAI01_MAI01B_100101_130101","2010","Dec",0.17,2010-12-01
"235","Ransome_OAH12_OAH12B_100101_2013","2010","Dec",0.11,2010-12-01
"236","Ransome_PHR26_PHR26A_100101_130101","2010","Dec",0,2010-12-01
"237","Ransome_PHR33_PHR33A_100101_130101","2010","Dec",0,2010-12-01
"238","Ransome_PHR33_PHR33B_100101_130101","2010","Dec",0,2010-12-01
"239","Ransome_PHR33_PHR33C_100101_130101","2010","Dec",0,2010-12-01
"240","Ransome_PHR42_PHR42A_100101_130101","2010","Dec",0,2010-12-01
"241","Ransome_FFS12_FFS12A_100101_130101","2011","Jan",0.05,2011-01-01
"242","Ransome_FFS34_FFS34A_100101_130101","2011","Jan",0.07,2011-01-01
"243","Ransome_GUA02_GUA02C_110101_140101","2011","Jan",0.23,2011-01-01
"244","Ransome_GUA05_GUA05B_110101_140101","2011","Jan",0.19,2011-01-01
"245","Ransome_GUA08_GUA08A_110101_140101","2011","Jan",0.29,2011-01-01
"246","Ransome_GUA08_GUA08B_110101_140101","2011","Jan",0.29,2011-01-01
"247","Ransome_GUA08_GUA08C_110101_140101","2011","Jan",0.29,2011-01-01
"248","Ransome_HAW22_HAW22B_100101_130101","2011","Jan",0.1,2011-01-01
"249","Ransome_HAW24_HAW24A_100101_130101","2011","Jan",0.07,2011-01-01
"250","Ransome_HAW24_HAW24B_100101_130101","2011","Jan",0.07,2011-01-01
"251","Ransome_HAW24_HAW24C_100101_130101","2011","Jan",0.07,2011-01-01
"252","Ransome_KAU02_KAU02A_100101_130101","2011","Jan",0.11,2011-01-01
"253","Ransome_KAU06_KAU06A_100101_130101","2011","Jan",0.2,2011-01-01
"254","Ransome_KAU08_KAU08A_100101_130101","2011","Jan",0.23,2011-01-01
"255","Ransome_KUR12_KUR12A_100101_130101","2011","Jan",0.05,2011-01-01
"256","Ransome_KUR33_KUR33A_100101_130101","2011","Jan",0.03,2011-01-01
"257","Ransome_LIS10_LIS10B_100101_130101","2011","Jan",0.01,2011-01-01
"258","Ransome_LIS14_LIS14B_100101_130101","2011","Jan",0.02,2011-01-01
"259","Ransome_MAI01_MAI01B_100101_130101","2011","Jan",0.13,2011-01-01
"260","Ransome_MAU04_MAU04A_110101_140101","2011","Jan",0.06,2011-01-01
"261","Ransome_MAU04_MAU04B_110101_140101","2011","Jan",0.06,2011-01-01
"262","Ransome_MAU04_MAU04C_110101_140101","2011","Jan",0.06,2011-01-01
"263","Ransome_MAU09_MAU09A_110101_140101","2011","Jan",0.04,2011-01-01
"264","Ransome_OAH12_OAH12B_100101_2013","2011","Jan",0.09,2011-01-01
"265","Ransome_PAG01_PAG01C_110101_140101","2011","Jan",0.13,2011-01-01
"266","Ransome_PAG05_PAG05C_110101_140101","2011","Jan",0.14,2011-01-01
"267","Ransome_PAG09_PAG09B_110101_140101","2011","Jan",0.12,2011-01-01
"268","Ransome_PHR26_PHR26A_100101_130101","2011","Jan",0,2011-01-01
"269","Ransome_PHR33_PHR33A_100101_130101","2011","Jan",0,2011-01-01
"270","Ransome_PHR33_PHR33B_100101_130101","2011","Jan",0,2011-01-01
"271","Ransome_PHR33_PHR33C_100101_130101","2011","Jan",0,2011-01-01
"272","Ransome_PHR42_PHR42A_100101_130101","2011","Jan",0,2011-01-01
"273","Ransome_SAI05_SAI05A_110101_140101","2011","Jan",0.13,2011-01-01
"274","Ransome_SAI06_SAI06B_110101_140101","2011","Jan",0.2,2011-01-01
"275","Ransome_SAI08_SAI08A_110101_140101","2011","Jan",0.23,2011-01-01
"276","Ransome_WAK06_WAK06A_110101_140101","2011","Jan",0.22,2011-01-01
"277","Ransome_WAK08_WAK08A_110101_140101","2011","Jan",0.13,2011-01-01
"278","Ransome_FFS12_FFS12A_100101_130101","2011","Feb",0,2011-02-01
"279","Ransome_FFS34_FFS34A_100101_130101","2011","Feb",0.02,2011-02-01
"280","Ransome_GUA02_GUA02C_110101_140101","2011","Feb",0.24,2011-02-01
"281","Ransome_GUA05_GUA05B_110101_140101","2011","Feb",0.24,2011-02-01
"282","Ransome_GUA08_GUA08A_110101_140101","2011","Feb",0.29,2011-02-01
"283","Ransome_GUA08_GUA08B_110101_140101","2011","Feb",0.29,2011-02-01
"284","Ransome_GUA08_GUA08C_110101_140101","2011","Feb",0.29,2011-02-01
"285","Ransome_HAW22_HAW22B_100101_130101","2011","Feb",0.12,2011-02-01
"286","Ransome_HAW24_HAW24A_100101_130101","2011","Feb",0.09,2011-02-01
"287","Ransome_HAW24_HAW24B_100101_130101","2011","Feb",0.09,2011-02-01
"288","Ransome_HAW24_HAW24C_100101_130101","2011","Feb",0.09,2011-02-01
"289","Ransome_KAU02_KAU02A_100101_130101","2011","Feb",0.14,2011-02-01
"290","Ransome_KAU06_KAU06A_100101_130101","2011","Feb",0.25,2011-02-01
"291","Ransome_KAU08_KAU08A_100101_130101","2011","Feb",0.27,2011-02-01
"292","Ransome_KUR12_KUR12A_100101_130101","2011","Feb",0.06,2011-02-01
"293","Ransome_KUR33_KUR33A_100101_130101","2011","Feb",0.04,2011-02-01
"294","Ransome_LIS10_LIS10B_100101_130101","2011","Feb",0,2011-02-01
"295","Ransome_LIS14_LIS14B_100101_130101","2011","Feb",0,2011-02-01
"296","Ransome_MAI01_MAI01B_100101_130101","2011","Feb",0.2,2011-02-01
"297","Ransome_MAU04_MAU04A_110101_140101","2011","Feb",0.03,2011-02-01
"298","Ransome_MAU04_MAU04B_110101_140101","2011","Feb",0.03,2011-02-01
"299","Ransome_MAU04_MAU04C_110101_140101","2011","Feb",0.03,2011-02-01
"300","Ransome_MAU09_MAU09A_110101_140101","2011","Feb",0.01,2011-02-01
"301","Ransome_OAH12_OAH12B_100101_2013","2011","Feb",0.12,2011-02-01
"302","Ransome_PAG01_PAG01C_110101_140101","2011","Feb",0.15,2011-02-01
"303","Ransome_PAG05_PAG05C_110101_140101","2011","Feb",0.16,2011-02-01
"304","Ransome_PAG09_PAG09B_110101_140101","2011","Feb",0.14,2011-02-01
"305","Ransome_PHR26_PHR26A_100101_130101","2011","Feb",0.01,2011-02-01
"306","Ransome_PHR33_PHR33A_100101_130101","2011","Feb",0.02,2011-02-01
"307","Ransome_PHR33_PHR33B_100101_130101","2011","Feb",0.02,2011-02-01
"308","Ransome_PHR33_PHR33C_100101_130101","2011","Feb",0.02,2011-02-01
"309","Ransome_PHR42_PHR42A_100101_130101","2011","Feb",0,2011-02-01
"310","Ransome_SAI05_SAI05A_110101_140101","2011","Feb",0.11,2011-02-01
"311","Ransome_SAI06_SAI06B_110101_140101","2011","Feb",0.19,2011-02-01
"312","Ransome_SAI08_SAI08A_110101_140101","2011","Feb",0.25,2011-02-01
"313","Ransome_WAK06_WAK06A_110101_140101","2011","Feb",0.21,2011-02-01
"314","Ransome_WAK08_WAK08A_110101_140101","2011","Feb",0.12,2011-02-01
"315","Ransome_FFS12_FFS12A_100101_130101","2011","Mar",0.07,2011-03-01
"316","Ransome_FFS34_FFS34A_100101_130101","2011","Mar",0.09,2011-03-01
"317","Ransome_GUA02_GUA02C_110101_140101","2011","Mar",0.2,2011-03-01
"318","Ransome_GUA05_GUA05B_110101_140101","2011","Mar",0.19,2011-03-01
"319","Ransome_GUA08_GUA08A_110101_140101","2011","Mar",0.24,2011-03-01
"320","Ransome_GUA08_GUA08B_110101_140101","2011","Mar",0.24,2011-03-01
"321","Ransome_GUA08_GUA08C_110101_140101","2011","Mar",0.24,2011-03-01
"322","Ransome_HAW22_HAW22B_100101_130101","2011","Mar",0.09,2011-03-01
"323","Ransome_HAW24_HAW24A_100101_130101","2011","Mar",0.03,2011-03-01
"324","Ransome_HAW24_HAW24B_100101_130101","2011","Mar",0.03,2011-03-01
"325","Ransome_HAW24_HAW24C_100101_130101","2011","Mar",0.03,2011-03-01
"326","Ransome_KAU02_KAU02A_100101_130101","2011","Mar",0.01,2011-03-01
